Модель;Цена;Описание;Ссылка на картинку
Citizen CC3075-80E;94 640 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 44мм, толщина 14,5мм, вес 166г;IconAndImages/Citizen1.jpg
Citizen AW1240-57L;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 11мм, вес 99г;IconAndImages/Citizen2.jpg
Citizen BN2040-17X;107 640 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 46мм, толщина 16мм, вес 138г, ширина браслета 22мм;IconAndImages/Citizen3.jpg
Citizen EM0643-84X;40 480 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, D 31,5мм, толщина 8,5мм, ширина ремешка 14мм, вес 52,4г;IconAndImages/Citizen4.jpg
Citizen BN2041-81L;121 180 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 46мм, толщина 16мм, вес 138г, ширина браслета 22мм;IconAndImages/Citizen5.jpg
Citizen CA0700-86E;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 11мм, вес 109г;IconAndImages/Citizen6.jpg
Citizen AT2480-81X;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10,6мм, вес 93г;IconAndImages/Citizen7.jpg
Citizen CA0650-82F;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42,5мм, толщина 11,8мм;IconAndImages/Citizen8.jpg
Citizen BJ2167-03E;94 100 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое, D 50,4мм, толщина 15,9мм, ширина ремешка 22мм, вес 135г;IconAndImages/Citizen9.jpg
Citizen EM0896-89Y;22 880 Руб;женские, японские, кварцевые, 50WR, стекло: минеральное, D 30мм, толщина 8,2мм, вес 55г;IconAndImages/Citizen10.jpg
Citizen BM7430-89A;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10мм, вес 100г;IconAndImages/Citizen11.jpg
Citizen AT8218-81E;94 100 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 44мм, толщина 11мм, вес 91г;IconAndImages/Citizen12.jpg
Citizen CA0700-86L;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 11мм, вес 110г;IconAndImages/Citizen13.jpg
